"Name of commune" Residents "Change in %" "Population density per km²" "Foreign nationals in %" "0-19 years" "20-64 years" "65 years or over" "Crude marriage rate" "Crude divorce rate" "Crude birth rate" "Crude mortality rate" "Private households" "Size of households in persons" "Total surface area in km2" "Settlement and urban area in %" "Change in ha" "Agricultural area in %" "Change in ha" "Wooded area in %" "Unproductive area in %" "Employed total" "Primary sector" "Secondary sector" "Tertiary sector" "Business establishments total" "Primary sector" "Secondary sector" "Tertiary sector" "Dwelling vacancy rate" "New housing units per 1000 residents" "Social assistance rate" "FDP/PLR 2)" CVP SP SVP EVP/CSP GLP BDP PdA/Sol. GPS "Small right-wing parties"
Freienstein-Teufen 2,317 276 1.0 -0.3 1.3 13.2 21.5 63.6 14.9 8.3 9.7 38.7 49.5 2.2 599 92 103 404 152 24 23 105 2.2 0.50 1.0 7.6 2.7 17.4 34.4 9.1 9.8 6.9 0.2 6.1 3.3 2.5     
Glattfelden 4,550 369 6.8 5.3 1.3 21.6 22.2 64.9 12.9 12.3 19.6 45.5 31.9 3.0 884 40 172 673 218 17 53 148 4.8 0.83 2.2 5.6 2.8 14.5 42.3 3.5 13.1 6.9 0.1 6.4 2.8 1.9     
Hochfelden 2,022 328 1.3 0.3 0.9 14.9 24.1 63.6 12.4 6.2 9.6 42.4 44.9 3.1 392 37 191 164 86 13 17 56 1.0 1.18 1.4 6.7 3.0 15.9 44.9 4.9 7.8 5.9 0.0 4.1 5.3 1.5     
Höri 2,619 548 6.7 5.7 1.1 30.4 22.5 64.5 13.1 4.8 19.1 58.9 12.6 9.4 1,133 29 596 509 177 11 63 103 1.5 0.19 3.0 5.7 2.5 9.5 53.0 2.1 9.9 7.9 0.2 2.2 4.5 2.5     
Hüntwangen 1,000 204 5.4 5.7 0.0 11.6 22.7 61.7 15.6 4.9 23.9 42.2 32.0 1.8 249 25 66 159 72 10 8 54 10.0 1.65 1.0 8.3 2.8 13.9 36.9 1.8 14.5 10.3 0.2 7.7 1.8 1.9     
Kloten 18,402 955 2.1 0.9 0.7 30.6 18.5 65.0 16.5 19.3 43.3 29.9 25.6 1.1 35,267 49 4,294 30,924 1,430 16 136 1,278 1.5 1.10 4.8 8.0 6.2 16.4 40.4 4.1 8.9 6.6 0.0 5.1 2.0 2.2     
Lufingen 1,833 353 4.0 2.8 1.1 17.4 24.7 64.3 11.0 5.2 15.2 47.6 36.6 0.6 327 29 72 226 103 12 21 70 14.7 0.00 0.7 10.4 3.1 12.3 40.4 3.4 11.7 7.6 0.3 3.8 4.7 2.4     
Nürensdorf 5,274 526 1.8 0.4 0.9 14.6 19.4 62.2 18.4 10.1 22.0 46.7 31.3 0.0 958 53 280 625 300 24 49 227 4.6 1.62 1.2 12.9 3.8 11.0 42.1 2.3 11.5 7.3 0.1 3.9 2.7 2.4     
Oberembrach 1,030 100 5.9 -10.0 0.6 10.4 19.6 64.6 15.8 10.2 6.9 58.5 34.3 0.3 234 76 28 130 86 33 10 43 1.0 1.09 0.2 7.6 3.5 11.3 49.4 1.4 6.8 7.9 0.1 5.1 4.7 2.1     
Opfikon 16,116 2,883 3.5 0.6 2.0 44.0 19.2 67.6 13.3 5.6 62.2 20.0 15.5 2.3 20,605 19 1,966 18,620 1,150 6 144 1,000 0.9 0.92 6.2 10.3 6.4 15.1 40.3 3.5 10.0 5.4 0.3 3.7 2.0 3.0     
